"tag","total_questions","avg_question_share","avg_unanswered_rate","overall_unanswered_rate","quality_category"
"android","962919007","0.07","0.09","37.20","High Volume, Poor Quality"
"ios","493927062","0.04","0.04","32.74","High Volume, Poor Quality"
"sql-server","195961901","0.01","0.01","23.76","Average"
"excel","119370206","0.01","0.01","35.02","High Volume, Poor Quality"
"windows","106685320","0.01","0.01","30.31","High Volume, Poor Quality"
"mongodb","79813637","0.01","0.01","33.97","High Volume, Poor Quality"
"osx","75635652","0.01","0.01","53.92","High Volume, Poor Quality"
"azure","41971704","0.00","0.00","33.73","High Volume, Poor Quality"
"amazon-web-services","40827581","0.00","0.00","38.28","High Volume, Poor Quality"
"actionscript-3","39938395","0.00","0.00","27.19","Average"
"amazon-s3","18236132","0.00","0.00","38.69","High Volume, Poor Quality"
"amazon-ec2","17081302","0.00","0.00","36.00","High Volume, Poor Quality"
"paypal","16195283","0.00","0.00","46.88","High Volume, Poor Quality"
"google-spreadsheet","10704517","0.00","0.00","39.73","High Volume, Poor Quality"
"ios8","9371276","0.00","0.00","36.12","High Volume, Poor Quality"
"actionscript","8853198","0.00","0.00","27.16","Average"
"ios9","4088005","0.00","0.00","42.70","High Volume, Poor Quality"
"amazon","3575002","0.00","0.00","38.78","High Volume, Poor Quality"
"amazon-dynamodb","3170184","0.00","0.00","35.94","High Volume, Poor Quality"
"amazon-lambda","2984685","0.00","0.00","99.75","High Volume, Poor Quality"
