"company_name","num_technologies","num_tech_categories","total_developer_questions","avg_questions_per_tech","diversity_rating"
"Google LLC","3","3","973886701","324628900.33","High Diversity"
"Apple Incorporated","6","3","583194053","97199008.83","High Diversity"
"Microsoft Corp.","4","4","463989131","115997282.75","High Diversity"
"Amazon Web Services","30","5","103349981","3444999.37","High Diversity"
"MongoDB","1","1","79813637","79813637.00","Low Diversity"
"Adobe Systems Incorporated","2","0","48791593","24395796.50","Low Diversity"
"PayPal Holdings Incorporated","1","2","32390566","32390566.00","Medium Diversity"
"Dropbox","2","4","13555500","6777750.00","High Diversity"
"Amazon.com Inc","4","1","3575002","893750.50","Low Diversity"
"Stripe","1","1","2972311","2972311.00","Low Diversity"
