"company_name","hardest_technology","unanswered_percentage"
"Amazon Web Services","amazon-lambda","99.75"
"Apple Incorporated","osx","53.92"
"Citrix Systems","citrix","48.80"
"PayPal Holdings Incorporated","paypal","46.88"
"Google LLC","android-pay","46.09"
"International Business Machines Corporation","cognos","44.23"
"Dropbox","dropbox-api","40.04"
"Stripe","stripe-payments","38.88"
"Amazon.com Inc","amazon","38.78"
"Microsoft Corp.","excel","35.02"
"MongoDB","mongodb","33.97"
"Adobe Systems Incorporated","actionscript-3","27.19"
