"tag","total_questions","difficulty_pct","active_days","last_activity","health_score","risk_status"
"applepayjs","10502","0.00","552","2018-09-25","10502.00","CRITICAL - No recent activity"
"amazon-glacier","114798","0.00","748","2018-09-25","114797.99","CRITICAL - No recent activity"
"amazon-rds-aurora","127532","0.00","748","2018-09-25","127531.98","CRITICAL - No recent activity"
"amazon-swf","154711","0.00","748","2018-09-25","154710.98","CRITICAL - No recent activity"
"applepay","161556","0.00","552","2018-09-25","161555.95","CRITICAL - No recent activity"
"amazon-ebs","225773","0.00","748","2018-09-25","225772.97","CRITICAL - No recent activity"
"amazon-data-pipeline","231758","0.00","748","2018-09-25","231757.92","CRITICAL - No recent activity"
"amazon-elasticache","256187","0.00","748","2018-09-25","256186.91","CRITICAL - No recent activity"
"amazon-cloudsearch","258432","0.00","987","2018-09-25","258431.93","CRITICAL - No recent activity"
"android-pay","263177","0.00","553","2018-09-25","263176.87","CRITICAL - No recent activity"
"amazon-simpledb","288410","0.00","748","2018-09-25","288409.95","CRITICAL - No recent activity"
"amazon-kinesis","374751","0.00","748","2018-09-25","374750.79","CRITICAL - No recent activity"
"amazon-ecs","381545","0.00","748","2018-09-25","381544.80","CRITICAL - No recent activity"
"amazon-vpc","394041","0.00","748","2018-09-25","394040.85","CRITICAL - No recent activity"
"amazon-elastic-beanstalk","395584","0.00","748","2018-09-25","395583.76","CRITICAL - No recent activity"
"amazon-mws","416413","0.00","748","2018-09-25","416412.78","CRITICAL - No recent activity"
"amazon-ses","509559","0.00","748","2018-09-25","509558.71","CRITICAL - No recent activity"
"citrix","530856","0.00","987","2018-09-25","530855.64","CRITICAL - No recent activity"
"amazon-cloudwatch","536044","0.00","748","2018-09-25","536043.64","CRITICAL - No recent activity"
"amazon-elb","632522","0.00","748","2018-09-25","632521.54","CRITICAL - No recent activity"
